[2025-11-30 14:09:09] GET /mobile/tuition | IP: [::1]:55596 | Status: 200 | Duration: 0ms | ReqSize: 0 bytes | RespSize: 0 bytes | Headers: Cookie, User-Agent, Accept, Cache-Control, Postman-Token, Accept-Encoding, Connection | Auth: false
[2025-11-30 14:09:31] GET /mobile/tuition | IP: [::1]:55596 | Status: 200 | Duration: 0ms | ReqSize: 0 bytes | RespSize: 0 bytes | Headers: Postman-Token, Accept-Encoding, Connection, Cookie, User-Agent, Accept, Cache-Control | Auth: false
[2025-11-30 14:09:35] GET /mobile/tuition | IP: [::1]:55596 | Status: 200 | Duration: 0ms | ReqSize: 0 bytes | RespSize: 0 bytes | Headers: Postman-Token, Accept-Encoding, Connection, Cookie, User-Agent, Accept, Cache-Control | Auth: false
[2025-11-30 14:28:43] GET /mobile/tuition | IP: [::1]:48914 | Status: 400 | Duration: 0ms | ReqSize: 0 bytes | RespSize: 33 bytes | Headers: Accept-Encoding, Connection, Cookie, User-Agent, Accept, Cache-Control, Postman-Token | Auth: true
[2025-11-30 14:32:54] GET /mobile/tuition | IP: [::1]:55078 | Status: 200 | Duration: 1ms | ReqSize: 0 bytes | RespSize: 82 bytes | Headers: Postman-Token, Accept-Encoding, Connection, Cookie, User-Agent, Accept, Cache-Control | Auth: true
[2025-11-30 14:34:07] GET /mobile/tuition | IP: [::1]:53506 | Status: 200 | Duration: 0ms | ReqSize: 0 bytes | RespSize: 82 bytes | Headers: Authorization, User-Agent, Accept, Cache-Control, Postman-Token, Accept-Encoding, Connection | Auth: true
[2025-11-30 14:38:29] GET /mobile/tuition | IP: [::1]:58252 | Status: 200 | Duration: 1ms | ReqSize: 0 bytes | RespSize: 82 bytes | Headers: User-Agent, Accept, Cache-Control, Postman-Token, Accept-Encoding, Connection, Authorization | Auth: true
[2025-11-30 14:38:38] GET /mobile/tuition | IP: [::1]:58252 | Status: 200 | Duration: 1ms | ReqSize: 0 bytes | RespSize: 82 bytes | Headers: Accept, Cache-Control, Postman-Token, Accept-Encoding, Connection, Authorization, User-Agent | Auth: true
[2025-11-30 14:38:39] GET /mobile/tuition | IP: [::1]:58252 | Status: 200 | Duration: 2ms | ReqSize: 0 bytes | RespSize: 82 bytes | Headers: Postman-Token, Accept-Encoding, Connection, Authorization, User-Agent, Accept, Cache-Control | Auth: true
[2025-11-30 14:38:40] GET /mobile/tuition | IP: [::1]:58252 | Status: 400 | Duration: 0ms | ReqSize: 0 bytes | RespSize: 33 bytes | Headers: Cache-Control, Postman-Token, Accept-Encoding, Connection, Authorization, User-Agent, Accept | Auth: true
[2025-11-30 15:04:04] GET /mobile/tuition | IP: [::1]:49524 | Status: 404 | Duration: 1ms | ReqSize: 0 bytes | RespSize: 57 bytes | Headers: Connection, Authorization, User-Agent, Accept, Cache-Control, Postman-Token, Accept-Encoding | Auth: true
[2025-11-30 15:05:49] POST /banking/pay | IP: [::1]:46636 | Status: 400 | Duration: 0ms | ReqSize: 0 bytes | RespSize: 45 bytes | Headers: Accept, Cache-Control, Postman-Token, Accept-Encoding, Connection, Content-Length, User-Agent | Auth: true
[2025-11-30 15:06:01] POST /banking/pay | IP: [::1]:46636 | Status: 200 | Duration: 5ms | ReqSize: 0 bytes | RespSize: 86 bytes | Headers: Cache-Control, Postman-Token, Accept-Encoding, Connection, Content-Length, User-Agent, Accept | Auth: true
[2025-11-30 15:09:27] POST /login | IP: [::1]:55602 | Status: 200 | Duration: 43ms | ReqSize: 59 bytes | RespSize: 237 bytes | Headers: Content-Length, Cache-Control, Content-Type, User-Agent, Accept, Postman-Token, Accept-Encoding, Connection | Auth: true
[2025-11-30 15:09:37] GET /mobile/tuition | IP: [::1]:55602 | Status: 400 | Duration: 0ms | ReqSize: 0 bytes | RespSize: 33 bytes | Headers: Accept-Encoding, Connection, Cookie, User-Agent, Accept, Cache-Control, Postman-Token | Auth: true
[2025-11-30 15:10:08] POST /login | IP: [::1]:55602 | Status: 200 | Duration: 39ms | ReqSize: 59 bytes | RespSize: 237 bytes | Headers: Content-Type, User-Agent, Accept, Postman-Token, Accept-Encoding, Cookie, Cache-Control, Connection, Content-Length | Auth: true
[2025-11-30 15:10:18] GET /mobile/tuition | IP: [::1]:55602 | Status: 200 | Duration: 2ms | ReqSize: 0 bytes | RespSize: 82 bytes | Headers: Postman-Token, Accept-Encoding, Connection, Cookie, User-Agent, Accept, Cache-Control | Auth: true
[2025-11-30 15:10:24] POST /login | IP: [::1]:55602 | Status: 200 | Duration: 40ms | ReqSize: 59 bytes | RespSize: 237 bytes | Headers: Content-Type, User-Agent, Accept, Postman-Token, Accept-Encoding, Connection, Content-Length, Cache-Control, Cookie | Auth: true
[2025-11-30 15:10:36] GET /mobile/tuition | IP: [::1]:55602 | Status: 400 | Duration: 0ms | ReqSize: 0 bytes | RespSize: 33 bytes | Headers: Postman-Token, Accept-Encoding, Connection, Cookie, User-Agent, Accept, Cache-Control | Auth: true
[2025-11-30 15:17:24] POST /login | IP: [::1]:45066 | Status: 200 | Duration: 41ms | ReqSize: 59 bytes | RespSize: 237 bytes | Headers: Content-Length, Content-Type, Connection, Cookie, User-Agent, Accept, Cache-Control, Postman-Token, Accept-Encoding | Auth: true
[2025-11-30 15:33:31] POST /register | IP: 127.0.0.1:42130 | Status: 400 | Duration: 40ms | ReqSize: 64 bytes | RespSize: 75 bytes | Headers: Sec-Fetch-Mode, Referer, Content-Type, Origin, Sec-Fetch-Site, Priority, User-Agent, Accept, Accept-Language, Accept-Encoding, Content-Length, Connection, Sec-Fetch-Dest | Auth: true
